database,workload,pool,ops_per_second,lowest,highest,p50_micros,p99_micros,p999_micros
h2,sequential,zoi,313344.282,84367.075,365103.929,0.000,0.000,0.000
h2,sequential,hikari,1131226.134,722283.273,1689308.468,0.000,0.000,0.000
h2,sequential,none,199441.231,145198.067,212232.076,0.000,0.000,0.000
h2,parallel,zoi,671685.884,619072.459,874614.098,0.000,0.000,0.000
h2,parallel,hikari,2444477.065,921804.436,2730947.714,0.000,0.000,0.000
h2,parallel,none,383277.121,279981.183,400825.556,0.000,0.000,0.000
h2,mixed,zoi,239027.637,96268.509,248772.327,0.000,0.000,0.000
h2,mixed,hikari,467669.373,363871.272,589766.606,0.000,0.000,0.000
h2,mixed,none,103665.344,89703.123,111158.919,0.000,0.000,0.000
h2,prepared,zoi,188822.553,181891.980,213805.683,0.000,0.000,0.000
h2,prepared,hikari,443674.157,384647.769,464540.314,0.000,0.000,0.000
h2,prepared,none,73405.949,70909.231,78148.285,0.000,0.000,0.000
h2,statement,zoi,275647.573,209796.260,300727.989,0.000,0.000,0.000
h2,statement,hikari,634037.853,490151.604,1068270.211,0.000,0.000,0.000
h2,statement,none,97448.654,81541.020,109953.057,0.000,0.000,0.000
h2,transaction,zoi,146671.874,92775.769,157843.239,0.000,0.000,0.000
h2,transaction,hikari,294929.993,189910.207,366826.359,0.000,0.000,0.000
h2,transaction,none,86076.763,77433.094,93912.429,0.000,0.000,0.000
h2,saturated,zoi,138062.236,89672.728,152964.022,0.000,0.000,0.000
h2,saturated,hikari,939215.080,779175.688,1089460.267,0.000,0.000,0.000
h2,saturated,none,192398.686,148790.673,212630.123,0.000,0.000,0.000
